Epoch,Train loss,Test loss,Accuracy,DOG_Accuracy,CAT_Accuracy
0,0.025627802405506373,0.004445048607885837,0.9830224514007568,0.9830224514007568,0.9830224514007568
1,0.007134830206632614,0.03850353360176086,0.877513587474823,0.877513587474823,0.877513587474823
2,0.02462152987718582,0.013681703060865403,0.9461126029491425,0.9461126029491425,0.9461126029491425
3,0.005997400172054768,0.0039193108677864075,0.9875673651695251,0.9875673651695251,0.9875673651695251
4,0.006867481581866741,0.012013053894042969,0.9559534192085266,0.9559534192085266,0.9559534192085266
5,0.013055198267102242,0.008263526484370232,0.9648928642272949,0.9648928642272949,0.9648928642272949
6,0.006866451539099217,0.003343192394822836,0.9905221164226532,0.9905221164226532,0.9905221164226532
7,0.0033264370635151864,0.005384020693600178,0.9820208251476288,0.9820208251476288,0.9820208251476288
8,0.005398345924913883,0.008076970279216767,0.9707773327827454,0.9707773327827454,0.9707773327827454
9,0.007036866806447506,0.0060056297108531,0.9809189438819885,0.9809189438819885,0.9809189438819885
